Aruba,ABW,,
Andorra,AND,,1.873196616
American Samoa,ASM,,
Antigua and Barbuda,ATG,,3.337049215
Bermuda,BMU,,
Curacao,CUW,,
Cayman Islands,CYM,,
Dominica,DMA,,-4.213529417
Faroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,,2
Gibraltar,GIB,,
Grenada,GRD,,3.730320732
Greenland,GRL,,
Isle of Man,IMN,,
Not classified,INX,,
Kiribati,KIR,,3.102807007
St. Kitts and Nevis,KNA,,1.743095266
Liechtenstein,LIE,,
St. Martin (French part),MAF,,
Monaco,MCO,,
Marshall Islands,MHL,,2.5
Northern Mariana Islands,MNP,,
Nauru,NRU,,4.154685104
Palau,PLW,,-3.720478368
San Marino,SMR,,1.236044657
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,,4.2
Turks and Caicos Islands,TCA,,
Tuvalu,TUV,,3.241589118
British Virgin Islands,VGB,,
Kosovo,XKX,,4.466099856
Channel Islands,CHI,9.355999947,
Cuba,CUB,2.53399992,
Eritrea,ERI,6.362999916,
Guam,GUM,5.605000019,
New Caledonia,NCL,14.75199986,
Puerto Rico,PRI,10.82999992,
"Korea, Dem. People¡¯s Rep.",PRK,4.776000023,
French Polynesia,PYF,20.77300072,
Somalia,SOM,5.979000092,
South Sudan,SSD,11.54300022,
Syrian Arab Republic,SYR,14.90299988,
"Venezuela, RB",VEN,7.662000179,
Virgin Islands (U.S.),VIR,7.132999897,
"Yemen, Rep.",YEM,14.03600025,
